run_id,learning_rate,depth,l2_leaf_reg,subsample,colsample_bylevel,bagging_temperature,random_strength,seed,model_path,features,accuracy,auc,metric,time,best_param
108,0.05,6,1,1.0,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
109,0.05,6,1,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
110,0.05,6,1,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
111,0.05,6,1,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
112,0.05,6,1,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
113,0.05,6,3,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
114,0.05,6,3,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
115,0.05,6,3,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
116,0.05,6,3,0.8,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
117,0.05,6,3,0.8,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
118,0.05,6,3,0.8,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
119,0.05,6,3,0.8,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
120,0.05,6,3,0.8,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
121,0.05,6,3,1.0,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
122,0.05,6,3,1.0,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
123,0.05,6,3,1.0,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
124,0.05,6,3,1.0,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
125,0.05,6,3,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
126,0.05,6,3,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
127,0.05,6,3,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
128,0.05,6,3,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
129,0.05,6,5,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
130,0.05,6,5,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
131,0.05,6,5,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
